ProductName,Stars,Ratings,Current_Price,MRP
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
ASUS Vivobook 11 Celeron Dual Core,0.0,0,24990,28990
MSI Modern 14 Core i5 10th Gen,4.4,1122,43990,61990
ASUS VivoBook Flip 14 Core i5 11th Gen,4.5,65,69990,82990
Lenovo Ryzen 5 Hexa Core 5600H,0.0,0,59490,89490
HP Ryzen 3 Quad Core 5th Gen,0.0,0,40490,47870
HP HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,2501,66990,76020
acer Aspire 5 Core i5 11th Gen,4.0,564,47130,54999
acer Nitro 5 Ryzen 5 Hexa Core 5600H,4.3,214,68990,99999
SAMSUNG Galaxy Book2 Core i5 12th Gen,4.2,38,69990,88990
DELL Inspiron Ryzen 5 Hexa Core 5625U,0.0,0,59999,75828
HP Pavilion Ryzen 5 Hexa Core 5500U,4.2,123,64490,74839
DELL Insprion 3511 Core i3 11th Gen,3.5,26,41990,52800
DELL Vostro Ryzen 5 Hexa Core 5625U,0.0,0,63331,76473
HP G8 Ryzen 3 Dual Core AMD Ryzen 3 3250U 3rd Gen,0.0,0,28790,40528
Lenovo IdeaPad 5 Pro Core i5 11th Gen,4.1,22,69000,113290
Infinix X1 Slim Series Core i3 10th Gen,4.3,4244,35990,49999
HP Pavilion x360 Core i3 12th Gen,0.0,0,59990,65628
Infinix X1 Slim Series Core i7 10th Gen,3.7,111,54990,69999
DELL Inspiron Ryzen 5 Hexa Core 5625U,0.0,0,51990,64981
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS VivoBook Flip 14 Core i5 11th Gen,4.5,65,69990,82990
DELL Vostro Ryzen 5 Hexa Core 5625U,0.0,0,63331,76473
HP 15s Core i3 10th Gen,4.1,1143,40250,43090
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
Lenovo Intel Core i5 11th Gen,4.3,3,68990,99290
Lenovo Athlon Dual Core 3050U,4.0,8,18990,29999
HP Celeron Dual Core,3.5,42,25999,36965
DELL Inspiron 3511 Core i3 11th Gen,0.0,0,46890,60371
Infinix X1 Slim Series Core i3 10th Gen,4.3,4244,35990,49999
HP 15s Intel Core i5 11th Gen,4.3,941,54450,70171
